category,price_dh,city,district,surface_m2,rooms,bathrooms,floor,property_age_years,price_per_m2
Appartement,22475000.0,Marrakech,Route de Casablanca,154,3.0,3.0,,,145941.55844155845
Appartement,3970000.0,Casablanca,Palmier,33,1.0,1.0,,,120303.0303030303
Appartement,32950000.0,Casablanca,Triangle d'Or,200,3.0,3.0,,,164750.0
Appartement,3250000.0,Rabat,Hay Riad,144,3.0,2.0,,,22569.444444444445
Appartement,2150000.0,Marrakech,Guéliz,140,2.0,2.0,,,15357.142857142857
Appartement,11100000.0,Sidi Rahal,Toute la ville,108,2.0,2.0,,,102777.77777777778
Appartement,5950000.0,Casablanca,Belvédère,105,2.0,2.0,,,56666.666666666664
Appartement,480000.0,Temara,Wifak,37,1.0,1.0,,,12972.972972972973
Appartement,311000.0,Rabat,Hay Riad,50,1.0,2.0,,,6220.0
Appartement,31200000.0,Casablanca,Sidi Maarouf,118,3.0,2.0,,,264406.77966101695
Appartement,21300000.0,Casablanca,Palmier,62,2.0,2.0,,,343548.3870967742
Appartement,32480000.0,Casablanca,Racine,186,3.0,3.0,,,174623.6559139785
Appartement,11990000.0,Casablanca,2 Mars,167,3.0,3.0,,,71796.40718562875
Appartement,2650000.0,Casablanca,Ain Sebaa,75,2.0,1.0,,,35333.333333333336
Appartement,2690000.0,Casablanca,Autre secteur,67,2.0,1.0,,,40149.253731343284
Appartement,31180000.0,Casablanca,Sidi Maarouf,100,3.0,2.0,,,311800.0
Appartement,21300000.0,Casablanca,Bourgogne,43,1.0,1.0,,,495348.83720930235
Appartement,4350000.0,Casablanca,Ain Sebaa,111,,,,,39189.18918918919
Villa_Riad,4400000.0,Casablanca,Ain Sebaa,320,6.0,4.0,,,13750.0
Villa_Riad,850000.0,Marrakech,Route de Fès,526,4.0,3.0,,,1615.9695817490494
Villa_Riad,3300000.0,Tanger,Ziatene,210,4.0,4.0,,,15714.285714285714
Villa_Riad,6300000.0,Casablanca,Hay Hassani,605,4.0,3.0,,,10413.223140495867
Villa_Riad,7000000.0,Marrakech,Ancienne Médina,162,6.0,4.0,,,43209.87654320987
Villa_Riad,4400000.0,Marrakech,Autre secteur,283,4.0,4.0,,,15547.703180212015
Villa_Riad,6000000.0,Dar Bouazza,Toute la ville,200,4.0,5.0,,,30000.0
Villa_Riad,4320000.0,Casablanca,Laimoune,340,4.0,4.0,,,12705.882352941177
Appartement,21150000.0,Marrakech,Hivernage,51,1.0,1.0,,,414705.8823529412
Appartement,11209700.0,Marrakech,Guéliz,60,2.0,2.0,,,186828.33333333334
Appartement,41500000.0,Casablanca,Gauthier,97,2.0,2.0,,,427835.05154639174
Appartement,4360000.0,Settat,Hay Al Kamal,102,2.0,1.0,,,42745.098039215685
Appartement,11664800.0,Agadir,Hay Salam,118,4.0,0.0,,,98854.2372881356
Appartement,41200000.0,Marrakech,Guéliz,60,1.0,1.0,,,686666.6666666666
Appartement,210000.0,Bouskoura,Ville verte,100,2.0,2.0,,,2100.0
Appartement,21100000.0,Tanger,Malabata,75,2.0,1.0,,,281333.3333333333
Appartement,4960000.0,Tanger,Du Golf,79,2.0,1.0,,,62784.81012658228
Appartement,1740000.0,Saidia,Toute la ville,74,2.0,1.0,,,23513.513513513513
Appartement,12800000.0,Bouskoura,Ville verte,140,3.0,3.0,,,91428.57142857143
Appartement,11750000.0,Casablanca,Bourgogne,94,2.0,0.0,,,125000.0
